"Collection Name","Title#1","Name#1","Name URI#1","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Date Created#1","Date Captured#1","Language Term#1","Language Term URI#1","Language Term Type#1","Extent#1","Physical Description Note#1","Internet Media Type#1","Digital Origin#1","Form#2","Form URI#2","Form#3","Form URI#3","Abstract#1","Note#1","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Topic#5","Subject Topic URI#5","Subject Topic#6","Subject Topic URI#6","Subject Name#1","Subject Name URI#1","Subject Name#2","Subject Name URI#2","Subject Name#3","Subject Name URI#3","Subject Name#4","Subject Name URI#4","Subject Geographic#1","Subject Geographic URI#1","Subject Temporal#1","Subject Temporal URI#1","Identifier ARK#1","Identifier#2","Physical Location#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"CU Museum of Natural History: Earl Morris papers","...Excavations near Aztec, San Juan Country, New Mexico: Catalogue of specimens","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","1915-08","2020","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","6 Pages","","application/pdf","reformatted digital","catalogs (documents)","http://vocab.getty.edu/page/aat/300026059","","","Original title: St. Louis Society, Archaeological Institute of America. Excavations near Aztec, San Juan County, New Mexico, August, 1915. Earl Morris in Charge. Catalogue of Specimens.","Morris details 86 items in this catalogue and includes limited provenience data. Page 6 is a duplicate of page 5.","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Relics","http://id.worldcat.org/fast/1093664","","","","","","","","","","","Aztec (San Juan, New Mexico, United States, North America) (civil)","GNIS: 898624","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/vm631v05m318","EHM02.02_002_001.pdf","CU Museum of Natural History","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","4940","4860","EHM02.02_002_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~4940~270585"
"CU Museum of Natural History: Earl Morris papers","...Index of floor features in north cave and south cave","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","Undated","2020","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","6 Pages","","application/pdf","reformatted digital","field notes","http://vocab.getty.edu/page/aat/300027201","","","Original title: Carnegie Institution of Washington: Durango rock shelters: Index of Floor features in north cave and south cave. Inventory is arranged in tabular format with the following column headings: New sequence of feature numbers, Old Feature Number, Type, Floor, Cave, Terrace.","","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Technical reports","http://id.loc.gov/authorities/subjects/sh85133131","","","","","","","","","","","Durango (La Plata, Colorado, United States, North America) (populated place)","GNIS: 202983","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/sr9k4w3347cd","EHM02.06_001_021.pdf","CU Museum of Natural History","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","5028","4860","EHM02.06_001_021.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~5028~270412"
"CU Museum of Natural History: Earl Morris papers","...Pit House Ruins... Specimen Catalog Part I: Classification according to serial number","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","1939","2020","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","9 Pages","","application/pdf","reformatted digital","catalogs (documents)","http://vocab.getty.edu/page/aat/300026059","","","Original title: Carnegie Institution of Washington--Division of Historical Research: 1939 Expedition -- Durango, Colorado: Pit House Ruins--Falls Creek Flat: Specimen Catalog Part 1: Classification according to serial number.","","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Specimens","http://id.worldcat.org/fast/1423861","Relics","http://id.worldcat.org/fast/1093664","","","","","","","","","Durango (La Plata, Colorado, United States, North America) (populated place)","GNIS: 202983","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/292r8v17f628","EHM02.06_001_004.pdf","CU Museum of Natural History","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","5013","4860","EHM02.06_001_004.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~5013~270442"
"CU Museum of Natural History: Earl Morris papers","...Pit House Ruins...Specimen Catalog: Part II: Classification according to type","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","1939","2020","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","11 Pages","","application/pdf","reformatted digital","catalogs (documents)","http://vocab.getty.edu/page/aat/300026059","","","Original title: Carnegie Institution of Washington--Division of Historical Research: 1939 Expedition--Durango, Colorado: Pit House Ruins--Falls Creek Flat: Specimen Catalog: Part II: Classification according to type","","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Specimens","http://id.worldcat.org/fast/1423861","Relics","http://id.worldcat.org/fast/1093664","","","","","","","","","Durango (La Plata, Colorado, United States, North America) (populated place)","GNIS: 202983","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/7d7g0g19b6m9","EHM02.06_001_006.pdf","CU Museum of Natural History","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","5014","4860","EHM02.06_001_006.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~5014~270440"
"CU Museum of Natural History: Earl Morris papers","...Rock Shelters: Specimen Catalog Part I: Classification according to catalog number","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","1938","2020","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","25 Pages","","application/pdf","reformatted digital","catalogs (documents)","http://vocab.getty.edu/page/aat/300026059","","","Extensive annotations in red, green, and graphite pencil. Page 25 includes inventory of objects taken to the University of Colorado Museum with corresponding museum numbers annotated in pencil.","Original title: Carnegie Institution of Washington--Division of Historical Research: 1938 Expedition -- Durango, Colorado: Rock Shelters: Specimen Catalog Part 1: Classificiation according to catalog number.","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Specimens","http://id.worldcat.org/fast/1423861","Relics","http://id.worldcat.org/fast/1093664","","","","","","","","","Durango (La Plata, Colorado, United States, North America) (populated place)","GNIS: 202983","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/8r7n1g53k319","EHM02.06_001_002.pdf","CU Museum of Natural History","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","5011","4860","EHM02.06_001_002.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~5011~270446"
"CU Museum of Natural History: Earl Morris papers","...Rock Shelters: Specimen Catalog Part II: Classificiation according to type","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","1938","2020","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","31 Pages","","application/pdf","reformatted digital","catalogs (documents)","http://vocab.getty.edu/page/aat/300026059","","","Annotations in red pencil and graphite.","Original title: Carnegie Institution of Washington--Division of Historical Research: 1938 Expedition -- Durango, Colorado: Rock Shelters: Specimen Catalog Part II: Classificiation according to type.","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Specimens","http://id.worldcat.org/fast/1423861","Relics","http://id.worldcat.org/fast/1093664","","","","","","","","","Durango (La Plata, Colorado, United States, North America) (populated place)","GNIS: 202983","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/cv4z1b49f353","EHM02.06_001_003.pdf","CU Museum of Natural History","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","5012","4860","EHM02.06_001_003.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~5012~270444"
"CU Museum of Natural History: Earl Morris papers","...Sites 101 (Logan Hillside) & 102 Specimen Catalog Part 1: Classification according to catalog number","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","1940","2020","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","19 Pages","","application/pdf","reformatted digital","catalogs (documents)","http://vocab.getty.edu/page/aat/300026059","","","Original title: Carnegie Institution of Washington--Division of Historical Research: 1940 Expedition -- Durango, Colorado: Sites 101 (Logan Hillside) & 102: Specimen Catalog: Part I: Classification according to catalog number.","","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Specimens","http://id.worldcat.org/fast/1423861","Relics","http://id.worldcat.org/fast/1093664","","","","","","","","","Durango (La Plata, Colorado, United States, North America) (populated place)","GNIS: 202983","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/bw3d423800mf","EHM02.06_001_016.pdf","CU Museum of Natural History","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","5023","4860","EHM02.06_001_016.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~5023~270422"
"CU Museum of Natural History: Earl Morris papers","...Sites 101 (Logan Hillside) & 102 Specimen Catalog Part II: Classification according to type","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","1940","2020","English","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","27 Pages","","application/pdf","reformatted digital","catalogs (documents)","http://vocab.getty.edu/page/aat/300026059","","","Original title: Carnegie Institution of Washington--Division of Historical Research: 1940 Expedition -- Durango, Colorado: Sites 101 (Logan Hillside) & 102: Specimen Catalog: Part II: Classification according to type.","","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Specimens","http://id.worldcat.org/fast/1423861","Relics","http://id.worldcat.org/fast/1093664","","","","","","","","","Durango (La Plata, Colorado, United States, North America) (populated place)","GNIS: 202983","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/gd082w7752dw","EHM02.06_001_017.pdf","CU Museum of Natural History","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","5024","4860","EHM02.06_001_017.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~5024~270420"
"CU Museum of Natural History: Earl Morris papers","26 bowls, Mimbres","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Still image","http://id.loc.gov/vocabulary/resourceTypes","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","Undated","2020","","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 Photograph","","image/jpeg","reformatted digital","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","lantern slides","http://vocab.getty.edu/page/aat/300134977","Based on the same image in UCM Anthro Photograph Collection, Vol. 6, this is Mimbres and corresponds with the print 5-1982-MMO-11","From 1982 inventory: 26 bowls","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Bowls (Tableware)","http://id.worldcat.org/fast/837256","Pottery","http://id.worldcat.org/fast/1073579","","","","","","","","","New Mexico (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n79005595","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/jj1p969982q0","EHM07.02_017_002.jpg","CU Museum of Natural History","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","5909","4860","EHM07.02_017_002.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~5909~270946"
"CU Museum of Natural History: Earl Morris papers","3 Ceramic Artifacts","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Still image","http://id.loc.gov/vocabulary/resourceTypes","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","Undated","2020","","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 Photograph","","image/jpeg","reformatted digital","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","lantern slides","http://vocab.getty.edu/page/aat/300134977","","","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Pottery","http://id.worldcat.org/fast/1073579","Spoons","http://id.worldcat.org/fast/1130373","","","","","","","","","[New Mexico (United States, North America) (first order administrative divisions)]","http://id.loc.gov/authorities/names/n79005595","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/nv479955f7cn","EHM07.02_017_004.jpg","CU Museum of Natural History","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","5911","4860","EHM07.02_017_004.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~5911~270944"
"CU Museum of Natural History: Earl Morris papers","3 Native People with Wood Pieces","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Still image","http://id.loc.gov/vocabulary/resourceTypes","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","Undated","2020","","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 Photograph","","image/jpeg","reformatted digital","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","lantern slides","http://vocab.getty.edu/page/aat/300134977","","","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Indians of North America","http://id.worldcat.org/fast/969633","Women","http://id.worldcat.org/fast/1176568","","","","","","","","","","","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/jf2c7n01t8mx","EHM07.02_020_015.jpg","CU Museum of Natural History","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","6020","4860","EHM07.02_020_015.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~6020~270835"
"CU Museum of Natural History: Earl Morris papers","3 Projectile Points","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Still image","http://id.loc.gov/vocabulary/resourceTypes","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","Undated","2020","","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 Photograph","","image/jpeg","reformatted digital","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","lantern slides","http://vocab.getty.edu/page/aat/300134977","Artifact in image labeled, but numbers not clear.","Slide prepared by AMNH, Neg. No. 108028","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Tools","http://id.worldcat.org/fast/1152598","Weapons","http://id.worldcat.org/fast/1173008","","","","","","","","","","","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/602q6s34w7v1","EHM07.02_020_011.jpg","CU Museum of Natural History","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","6017","4860","EHM07.02_020_011.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~6017~270838"
"CU Museum of Natural History: Earl Morris papers","3 Sandals","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Still image","http://id.loc.gov/vocabulary/resourceTypes","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","Undated","2020","","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 Photograph","","image/jpeg","reformatted digital","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","lantern slides","http://vocab.getty.edu/page/aat/300134977","Same as EHM07.02_017_012, but showing an amber tint. The two patterned twined sandals on the right are shown in Fig. 5.11, a, in ""Archaeology of the Southwest"" (2012) by Cordell and McBrinn, who note that they are museum catalog number 2462.","","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Sandals","http://id.worldcat.org/fast/1104902","","","","","","","","","","","[New Mexico (United States, North America) (first order administrative divisions)]","http://id.loc.gov/authorities/names/n79005595","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/9c9t1474137b","EHM07.02_017_016.jpg","CU Museum of Natural History","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","5923","4860","EHM07.02_017_016.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~5923~270932"
"CU Museum of Natural History: Earl Morris papers","3 Sandals","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Still image","http://id.loc.gov/vocabulary/resourceTypes","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","Undated","2020","","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 Photograph","","image/jpeg","reformatted digital","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","lantern slides","http://vocab.getty.edu/page/aat/300134977","Same as EHM07.02_017_016[CR]The two patterned twined sandals on the right are shown in Fig. 5.11, a, in ""Archaeology of the Southwest"" (2012) by Cordell and McBrinn, who note that they are museum catalog number 2462.","","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Sandals","http://id.worldcat.org/fast/1104902","","","","","","","","","","","[New Mexico (United States, North America) (first order administrative divisions)]","http://id.loc.gov/authorities/names/n79005595","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/779z4d56k7xv","EHM07.02_017_012.jpg","CU Museum of Natural History","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","5919","4860","EHM07.02_017_012.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~5919~270936"
"CU Museum of Natural History: Earl Morris papers","33 bowls, enlargement, Mimbres","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Still image","http://id.loc.gov/vocabulary/resourceTypes","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","Undated","2020","","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 Photograph","","image/jpeg","reformatted digital","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","lantern slides","http://vocab.getty.edu/page/aat/300134977","Based on the same image in UCM Anthro Photograph Collection, Vol. 6, this is Mimbres and corresponds with the print 5-1982-MMO-6c / -6b","From 1982 inventory: 33 bowls, enlargement","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Bowls (Tableware)","http://id.worldcat.org/fast/837256","Pottery","http://id.worldcat.org/fast/1073579","","","","","","","","","New Mexico (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n79005595","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/9v833q91f00b","EHM07.02_017_001.jpg","CU Museum of Natural History","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","5908","4860","EHM07.02_017_001.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~5908~270947"
"CU Museum of Natural History: Earl Morris papers","4 Bowls","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Still image","http://id.loc.gov/vocabulary/resourceTypes","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","Undated","2020","","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 Photograph","","image/jpeg","reformatted digital","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","lantern slides","http://vocab.getty.edu/page/aat/300134977","","","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Storage jars","http://id.worldcat.org/fast/1133991","Pottery","http://id.worldcat.org/fast/1073579","","","","","","","","","","","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/340r8562873m","EHM07.02_020_017.jpg","CU Museum of Natural History","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","6022","4860","EHM07.02_020_017.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~6022~271378"
"CU Museum of Natural History: Earl Morris papers","5 bowls, Mimbres","Morris, Earl Halstead, 1889-1956","http://id.loc.gov/authorities/names/n80004158","Still image","http://id.loc.gov/vocabulary/resourceTypes","Photographs","http://id.loc.gov/authorities/genreForms/gf2017027249","Undated","2020","","http://id.loc.gov/vocabulary/iso639-2/eng","ISO639-2","1 Photograph","","image/jpeg","reformatted digital","black-and-white photographs","http://vocab.getty.edu/page/aat/300128347","lantern slides","http://vocab.getty.edu/page/aat/300134977","Same as EHM07.02_017_005","","Excavations (Archaeology)","http://id.worldcat.org/fast/917564","Dendrochronology","http://id.worldcat.org/fast/890285","Mayas--Antiquities","http://id.worldcat.org/fast/1012778","Southwest, New--Antiquities","http://id.loc.gov/authorities/subjects/sh85125670","Bowls (Tableware)","http://id.worldcat.org/fast/837256","Pottery","http://id.worldcat.org/fast/1073579","","","","","","","","","New Mexico (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n79005595","Twentieth century","http://id.loc.gov/authorities/subjects/sh85139020","https://ark.colorado.edu/ark:/47540/sb93581373r3","EHM07.02_017_017.jpg","CU Museum of Natural History","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.","http://rightsstatements.org/vocab/UND/1.0/","5924","4860","EHM07.02_017_017.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~20~20~5924~270931"
